2018-03-09 18:22:33,882 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Chempiler\graph\chemputer_rig_3_sildenafil.graphml
Command file: C:\Users\group\Documents\Chempiler\tests\sildenafil.chasm
Simulation: n
2018-03-09 18:22:34,038 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,044 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,051 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,057 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,063 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,070 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,076 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,083 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,089 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,096 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,102 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Clear errors DONE.
2018-03-09 18:22:34,109 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:34,534 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-03-09 18:22:34,546 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Move DONE
2018-03-09 18:22:34,831 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-03-09 18:22:35,028 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Move DONE
2018-03-09 18:22:35,086 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Move DONE
2018-03-09 18:22:35,137 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-03-09 18:22:35,697 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,697 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,697 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,697 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,698 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,698 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Actuation SUCCESS!
2018-03-09 18:22:35,698 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Move DONE
2018-03-09 18:22:35,698 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-03-09 18:22:35,698 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-03-09 18:22:35,699 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-03-09 18:22:35,699 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Move DONE
2018-03-09 18:22:35,699 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Move DONE
2018-03-09 18:22:36,314 ; DEBUG ; Chemputer_Device_API ; pump_reagents_1 TCP thread ; Clear errors DONE.
