2018-08-07 17:34:02,654 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Chempiler\experiments\graph\chemputer_rig_3_sildenafil.graphml
Command file: C:\Users\group\Documents\Chempiler\experiments\ChASM\sildenafil.chasm
Simulation: n
2018-08-07 17:34:08,320 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,327 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:08,333 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,340 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:08,346 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,352 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:08,358 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,364 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:08,371 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,377 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:08,384 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Clear errors DONE.
2018-08-07 17:34:08,390 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,217 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Move DONE
2018-08-07 17:34:09,326 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-08-07 17:34:09,391 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Move DONE
2018-08-07 17:34:09,406 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-08-07 17:34:09,432 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-08-07 17:34:09,445 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Move DONE
2018-08-07 17:34:09,841 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:09,846 ; DEBUG ; Chemputer_Device_API ; valve_solvents TCP thread ; Move DONE
2018-08-07 17:34:09,847 ; DEBUG ; Chemputer_Device_API ; valve_reagents_2 TCP thread ; Move DONE
2018-08-07 17:34:09,847 ; DEBUG ; Chemputer_Device_API ; valve_reactor TCP thread ; Move DONE
2018-08-07 17:34:09,847 ; DEBUG ; Chemputer_Device_API ; valve_separator TCP thread ; Move DONE
2018-08-07 17:34:09,847 ; DEBUG ; Chemputer_Device_API ; valve_rotary TCP thread ; Move DONE
2018-08-07 17:34:10,268 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Move DONE
2018-08-07 17:34:10,882 ; DEBUG ; Chemputer_Device_API ; pump_reagents_1 TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,888 ; DEBUG ; Chemputer_Device_API ; pump_reagents_1 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:10,894 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,900 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:10,907 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,914 ; DEBUG ; Chemputer_Device_API ; pump_solvents TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:10,919 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,926 ; DEBUG ; Chemputer_Device_API ; pump_reactor TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:10,932 ; DEBUG ; Chemputer_Device_API ; pump_separator TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,938 ; DEBUG ; Chemputer_Device_API ; pump_separator TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:10,946 ; DEBUG ; Chemputer_Device_API ; pump_rotary TCP thread ; Clear errors DONE.
2018-08-07 17:34:10,951 ; DEBUG ; Chemputer_Device_API ; pump_rotary TCP thread ; Actuation SUCCESS!
2018-08-07 17:34:14,758 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; DONE. New home reading is 645
2018-08-07 17:34:14,765 ; DEBUG ; Chemputer_Device_API ; pump_reagents_2 TCP thread ; Homing DONE.
2018-08-07 17:34:14,944 ; DEBUG ; Chemputer_Device_API ; pump_separator TCP thread ; DONE. New home reading is 605
2018-08-07 17:34:14,951 ; DEBUG ; Chemputer_Device_API ; pump_separator TCP thread ; Homing DONE.
2018-08-07 17:34:14,983 ; DEBUG ; Chemputer_Device_API ; pump_reagents_1 TCP thread ; DONE. New home reading is 600
2018-08-07 17:34:14,990 ; DEBUG ; Chemputer_Device_API ; pump_reagents_1 TCP thread ; Homing DONE.
2018-08-07 17:39:07,700 ; DEBUG ; chempiler_client ; MainThread ; User Input:
XML file: C:\Users\group\Documents\Chempiler\experiments\graph\chemputer_rig_3_sildenafil.graphml
Command file: C:\Users\group\Documents\Chempiler\experiments\ChASM\sildenafil.chasm
Simulation: n
2018-08-07 17:39:12,909 ; DEBUG ; Chemputer_Device_API ; valve_reagents_1 TCP thread ; Clear errors DONE.
